번호,대여/반납,일시,보관소명,거치대번호,처리자
988867,대여,2012년02월20일14시13분10초,홍은사거리,5,사용자
990153,대여,2012년02월20일15시16분41초,홍은사거리,19,사용자
990243,대여,2012년02월20일15시25분58초,홍은사거리,1,사용자
990373,대여,2012년02월20일15시36분31초,홍은사거리,4,사용자
990511,대여,2012년02월20일15시50분50초,증산2교,17,사용자
990597,대여,2012년02월20일16시09분49초,홍은사거리,2,사용자
990690,대여,2012년02월20일16시21분57초,증산2교,4,사용자
990694,대여,2012년02월20일16시22분25초,증산2교,11,사용자
990700,대여,2012년02월20일16시23분07초,문화촌,12,사용자
990797,대여,2012년02월20일16시32분44초,홍은사거리,9,사용자
990803,대여,2012년02월20일16시33분35초,홍은사거리,19,사용자
990820,대여,2012년02월20일16시36분40초,증산2교,14,사용자
990856,대여,2012년02월20일16시40분51초,홍은사거리,15,사용자
990954,대여,2012년02월20일16시52분20초,홍은사거리,16,사용자
990998,대여,2012년02월20일16시57분12초,홍은사거리,19,사용자
991198,대여,2012년02월20일17시23분13초,홍은사거리,21,사용자
991403,대여,2012년02월20일17시40분51초,문화촌,16,사용자
991448,대여,2012년02월20일17시44분33초,문화촌,10,사용자
991554,대여,2012년02월20일17시50분25초,문화촌,19,사용자
991874,대여,2012년02월20일18시12분24초,홍은사거리,9,사용자
991940,대여,2012년02월20일18시22분29초,증산2교,19,사용자
991997,대여,2012년02월20일18시30분02초,증산2교,17,사용자
992006,대여,2012년02월20일18시31분54초,홍은사거리,5,사용자
992103,대여,2012년02월20일19시20분29초,문화촌,14,사용자
992105,대여,2012년02월20일19시31분18초,사천교,4,사용자
992106,대여,2012년02월20일19시32분19초,사천교,1,사용자
992112,대여,2012년02월20일19시53분55초,홍은사거리,1,사용자
992114,대여,2012년02월20일19시55분32초,홍은사거리,5,사용자
992124,대여,2012년02월21일08시48분11초,홍은사거리,2,사용자
992590,대여,2012년02월21일11시41분38초,문화촌,17,사용자
992735,대여,2012년02월21일11시55분18초,홍은사거리,5,사용자
993043,대여,2012년02월21일12시08분16초,홍은사거리,1,사용자
993717,대여,2012년02월21일12시27분30초,홍은사거리,1,사용자
994512,대여,2012년02월21일12시47분19초,홍은사거리,24,사용자
994618,대여,2012년02월21일12시50분03초,홍은사거리,19,사용자
995124,대여,2012년02월21일13시03분17초,홍은사거리,9,사용자
995630,대여,2012년02월21일13시15분49초,증산2교,6,사용자
995747,대여,2012년02월21일13시18분56초,증산2교,17,사용자
995910,대여,2012년02월21일13시26분05초,문화촌,14,사용자
996010,대여,2012년02월21일13시29분17초,홍은사거리,18,사용자
996057,대여,2012년02월21일13시31분51초,홍은사거리,1,사용자
996150,대여,2012년02월21일13시35분26초,홍은사거리,18,사용자
996196,대여,2012년02월21일13시37분12초,홍은사거리,24,사용자
997839,대여,2012년02월21일14시42분45초,홍은사거리,21,사용자
997840,대여,2012년02월21일14시44분28초,홍은사거리,24,사용자
997858,대여,2012년02월21일14시48분04초,해담는 다리,8,사용자
997866,대여,2012년02월21일14시50분34초,해담는 다리,8,사용자
997869,대여,2012년02월21일14시51분20초,해담는 다리,7,사용자
997886,대여,2012년02월21일15시00분37초,해담는 다리,9,사용자
997961,대여,2012년02월21일15시06분35초,홍은사거리,1,사용자
997976,대여,2012년02월21일15시08분14초,홍은사거리,13,사용자
998016,대여,2012년02월21일15시09분55초,홍은사거리,18,사용자
998170,대여,2012년02월21일15시22분25초,증산2교,11,사용자
998989,대여,2012년02월21일16시24분22초,문화촌,12,사용자
999692,대여,2012년02월21일17시09분29초,증산2교,7,사용자
999841,대여,2012년02월21일17시19분01초,증산2교,16,사용자
999858,대여,2012년02월21일17시20분18초,증산2교,14,사용자
1000757,대여,2012년02월21일18시08분47초,홍은사거리,17,사용자
1001591,대여,2012년02월21일18시48분36초,문화촌,17,사용자
1001785,대여,2012년02월21일18시55분23초,사천교,17,사용자
1001919,대여,2012년02월21일18시59분57초,사천교,3,사용자
1001929,대여,2012년02월21일19시00분34초,사천교,12,사용자
1003448,대여,2012년02월21일19시42분01초,사천교,10,사용자
1003607,대여,2012년02월21일19시45분52초,사천교,7,사용자
1004009,대여,2012년02월21일19시54분38초,사천교,13,사용자
1004135,대여,2012년02월21일19시57분13초,사천교,8,사용자
1004415,대여,2012년02월21일20시02분58초,해담는 다리,9,사용자
1005335,대여,2012년02월21일20시21분35초,해담는 다리,11,사용자
1005482,대여,2012년02월21일20시24분45초,문화촌,17,사용자
1006064,대여,2012년02월21일20시38분02초,사천교,13,사용자
